Company_ID,Date,Sponsor,Govt,Institute,Foreign,Public
AAMRANET,30/06/2022,33.04,0.00,28.73,0.00,38.23
AAMRATECH,30/06/2022,30.01,0.00,27.96,0.00,42.03
ABB1STMF,30/06/2022,15.51,0.00,21.56,0.00,62.93
ABBANK,31/12/2021,31.67,0.57,23.49,0.88,43.39
ACFL,30/06/2022,65.06,0.00,10.66,0.11,24.17
ACI,30/06/2022,35.28,0.00,40.75,0.00,23.97
ACIFORMULA,30/06/2022,66.02,0.00,17.96,0.00,16.02
ACMELAB,30/06/2022,39.83,0.00,31.05,0.13,28.99
ACMEPL,30/06/2022,31.80,0.00,27.23,0.01,40.96
ACTIVEFINE,30/06/2022,12.04,0.00,25.13,3.11,59.72
ADNTEL,30/06/2022,51.56,0.00,16.57,1.99,29.88
ADVENT,30/06/2022,30.02,0.00,23.55,0.00,46.43
AFCAGRO,30/06/2022,30.29,0.00,36.51,0.00,33.20
AFTABAUTO,30/06/2022,30.00,0.00,36.73,0.00,33.27
AGNISYSL,30/06/2022,32.76,0.00,10.91,0.00,56.33
AGRANINS,31/12/2021,30.15,0.00,14.12,0.00,55.73
AIBL1STIMF,31/03/2022,10.00,0.00,52.60,0.00,37.40
AIBLPBOND,31/12/2020,0.00,0.00,0.00,0.00,0.00
AIL,30/06/2022,33.35,0.00,11.22,0.00,55.43
AL-HAJTEX,30/06/2022,25.63,0.01,19.96,0.00,54.40
ALARABANK,31/12/2021,41.87,0.00,29.35,0.52,28.26
ALIF,30/06/2022,30.46,0.00,7.80,0.00,61.74
ALLTEX,30/06/2022,40.74,0.00,11.64,0.00,47.62
AMANFEED,30/06/2022,63.26,0.00,10.33,0.05,26.36
AMBEEPHA,30/06/2022,75.25,0.00,9.63,0.00,13.12
AMCL(PRAN),30/06/2022,40.15,0.00,16.24,0.00,43.61
ANLIMAYARN,30/06/2022,44.43,0.00,5.02,0.00,50.55
ANWARGALV,30/06/2022,35.32,0.00,22.55,0.00,42.13
AOL,30/06/2022,30.65,0.00,23.96,0.13,45.26
APEXFOODS,30/06/2022,36.06,0.00,4.26,0.00,59.68
APEXFOOT,30/06/2022,31.75,0.00,24.26,0.00,43.99
APEXSPINN,30/06/2022,52.98,0.00,13.14,0.25,33.63
APEXTANRY,30/06/2022,30.40,0.00,30.00,0.00,39.60
APOLOISPAT,30/06/2018,21.19,0.00,23.60,0.69,54.52
APSCLBOND,30/06/2019,0.00,0.00,0.00,0.00,0.00
ARAMIT,30/06/2022,45.92,0.00,10.45,0.00,43.63
ARAMITCEM,30/06/2022,45.92,0.00,10.45,0.00,43.63
ARGONDENIM,30/06/2022,36.08,0.00,33.71,0.00,30.21
ASIAINS,31/12/2021,47.63,0.00,26.67,0.00,25.70
ASIAPACINS,31/12/2021,37.66,0.00,25.38,0.00,36.96
ATCSLGF,30/06/2022,3.24,0.00,32.55,0.17,64.04
More...,31/01/1970,0.00,0.00,0.00,0.00,0.00
ATLASBANG,30/06/2022,0.00,51.00,16.60,0.00,32.40
AZIZPIPES,30/06/2022,23.93,0.00,10.49,0.00,65.58
BANGAS,30/06/2022,31.00,0.00,5.88,0.00,63.13
BANKASIA,31/12/2022,53.36,0.00,35.72,0.21,10.71
BARKAPOWER,30/06/2022,31.87,0.00,27.51,0.00,40.62
BATASHOE,31/12/2021,70.00,0.00,20.52,1.58,7.90
BATBC,31/12/2022,72.91,0.64,12.76,6.39,7.30
BAYLEASING,31/12/2021,30.07,0.00,21.71,0.15,48.07
BBS,30/06/2022,30.01,0.00,33.22,0.30,36.47
BBSCABLES,30/06/2022,30.98,0.00,21.92,0.52,46.58
BDAUTOCA,30/06/2022,30.06,0.00,11.68,0.00,58.26
BDCOM,30/06/2022,30.00,0.00,4.96,0.00,65.04
BDFINANCE,31/12/2022,31.20,0.00,12.28,0.00,56.52
BDLAMPS,30/06/2022,61.88,0.00,8.96,0.03,29.14
BDSERVICE,30/06/2022,0.00,99.68,0.00,0.19,0.13
